"SampleID","Antigen","MFI"
2537,"LF010",41
2537,"RBP2b.P87",49
2537,"LF016",63.5
2537,"MSP8",105
294,"EBP",48.5
294,"PTEX150",119
294,"PvCSS",60.5
294,"LF005",168
294,"LF010",45
294,"RBP2b.P87",54
294,"LF016",56.5
294,"MSP8",97
297,"EBP",40
297,"PTEX150",283
297,"PvCSS",46
297,"LF005",44
297,"LF010",35
297,"RBP2b.P87",38
297,"LF016",32
297,"MSP8",71
305,"EBP",35.5
305,"PTEX150",774
305,"PvCSS",224
305,"LF005",59
305,"LF010",33
305,"RBP2b.P87",36
305,"LF016",55.5
305,"MSP8",55.5
312,"EBP",45
312,"PTEX150",73
312,"PvCSS",52.5
312,"LF005",56
312,"LF010",40
312,"RBP2b.P87",61
312,"LF016",67.5
312,"MSP8",96
313,"EBP",34
313,"PTEX150",29
313,"PvCSS",64
313,"LF005",51.5
313,"LF010",33
313,"RBP2b.P87",37.5
313,"LF016",33
313,"MSP8",887
314,"EBP",42
314,"PTEX150",60
314,"PvCSS",55
314,"LF005",60
314,"LF010",43
314,"RBP2b.P87",47
314,"LF016",50
314,"MSP8",80
315,"EBP",54
315,"PTEX150",42.5
315,"PvCSS",98.5
315,"LF005",50
315,"LF010",40
315,"RBP2b.P87",52
315,"LF016",80
315,"MSP8",47.5
316,"EBP",55
316,"PTEX150",213.5
316,"PvCSS",81
316,"LF005",73
316,"LF010",45
316,"RBP2b.P87",56
316,"LF016",67.5
316,"MSP8",5144
317,"EBP",38
317,"PTEX150",52.5
317,"PvCSS",37
317,"LF005",61
317,"LF010",30
317,"RBP2b.P87",37
317,"LF016",34
317,"MSP8",49
318,"EBP",40
318,"PTEX150",39
318,"PvCSS",255
318,"LF005",55
318,"LF010",36
318,"RBP2b.P87",80
318,"LF016",68
318,"MSP8",54.5
319,"EBP",38
319,"PTEX150",89.5
319,"PvCSS",50
319,"LF005",46
319,"LF010",38
319,"RBP2b.P87",48
319,"LF016",61
319,"MSP8",40
320,"EBP",35
320,"PTEX150",74
320,"PvCSS",151
320,"LF005",49
320,"LF010",45
320,"RBP2b.P87",48
320,"LF016",37
320,"MSP8",333.5
321,"EBP",32
321,"PTEX150",33
321,"PvCSS",39
321,"LF005",38
321,"LF010",29
321,"RBP2b.P87",30
321,"LF016",1114.5
321,"MSP8",54
322,"EBP",38
322,"PTEX150",40
322,"PvCSS",89
322,"LF005",58
322,"LF010",35
322,"RBP2b.P87",43
322,"LF016",45
322,"MSP8",72
323,"EBP",45
323,"PTEX150",59.5
323,"PvCSS",50
323,"LF005",96
323,"LF010",41
323,"RBP2b.P87",52
323,"LF016",88
323,"MSP8",186.5
324,"EBP",52
324,"PTEX150",160.5
324,"PvCSS",145
324,"LF005",86
324,"LF010",53
324,"RBP2b.P87",75
324,"LF016",134
324,"MSP8",626
