"std_plate","Sample","antigen","eth_mfi","dilution","png_mfi"
4,"S8","PvCSS",85,0.0078125,416.5
4,"S9","LF005",233,0.00390625,299
4,"S9","EBP",252,0.00390625,726
4,"S9","LF010",903.5,0.00390625,1356
4,"S9","PTEX150",65,0.00390625,284
4,"S9","RBP2b.P87",292.5,0.00390625,593
4,"S9","LF016",5895,0.00390625,1130.5
4,"S9","PvCSS",49.5,0.00390625,213
4,"S10","LF005",134,0.001953125,163
4,"S10","EBP",153,0.001953125,407.5
4,"S10","LF010",537,0.001953125,790
4,"S10","PTEX150",50,0.001953125,156
4,"S10","RBP2b.P87",177,0.001953125,327
4,"S10","LF016",3444,0.001953125,632
4,"S10","PvCSS",32,0.001953125,108.5
5,"S1","LF005",13664,1,13137.5
5,"S1","EBP",11548,1,17046
5,"S1","LF010",25755,1,28097.5
5,"S1","PTEX150",4350,1,12289
5,"S1","RBP2b.P87",7334,1,8862
5,"S1","LF016",26261.5,1,24857
5,"S1","PvCSS",5510,1,13222.5
5,"S2","LF005",10566,0.5,10280
5,"S2","EBP",9440,0.5,14363.5
5,"S2","LF010",21950,0.5,24214
5,"S2","PTEX150",2657,0.5,8484
5,"S2","RBP2b.P87",6422,0.5,8078
5,"S2","LF016",26725,0.5,21144
5,"S2","PvCSS",3221.5,0.5,9622
5,"S3","LF005",7288,0.25,7077
5,"S3","EBP",6845.5,0.25,10833
5,"S3","LF010",16479.5,0.25,17860
5,"S3","PTEX150",1646,0.25,5611
5,"S3","RBP2b.P87",5026,0.25,6121
5,"S3","LF016",25992,0.25,16149.5
5,"S3","PvCSS",1933,0.25,6325
5,"S4","LF005",4917,0.125,5017
5,"S4","EBP",4681,0.125,8663
5,"S4","LF010",11890,0.125,13662
5,"S4","PTEX150",1029.5,0.125,4040
5,"S4","RBP2b.P87",3720,0.125,5092
5,"S4","LF016",24442,0.125,12604
5,"S4","PvCSS",1147,0.125,4433.5
5,"S5","LF005",2594,0.0625,2701
5,"S5","EBP",2547,0.0625,5991
5,"S5","LF010",7962,0.0625,9624
5,"S5","PTEX150",591,0.0625,2337
5,"S5","RBP2b.P87",2316,0.0625,3671
5,"S5","LF016",21972,0.0625,8762
5,"S5","PvCSS",629,0.0625,2390.5
5,"S6","LF005",1614,0.03125,1620
5,"S6","EBP",1590,0.03125,3292
5,"S6","LF010",5458,0.03125,6316.5
5,"S6","PTEX150",355,0.03125,1450.5
5,"S6","RBP2b.P87",1581,0.03125,2365
5,"S6","LF016",18736,0.03125,5668
5,"S6","PvCSS",361,0.03125,1370
5,"S7","LF005",943,0.015625,910
5,"S7","EBP",941.5,0.015625,1998
5,"S7","LF010",3019.5,0.015625,3503
5,"S7","PTEX150",202,0.015625,866
5,"S7","RBP2b.P87",1050,0.015625,1542.5
5,"S7","LF016",14548,0.015625,3158.5
5,"S7","PvCSS",193,0.015625,729
5,"S8","LF005",538,0.0078125,493
5,"S8","EBP",570.5,0.0078125,1107
5,"S8","LF010",1968,0.0078125,2028
5,"S8","PTEX150",119.5,0.0078125,455
5,"S8","RBP2b.P87",603,0.0078125,862
5,"S8","LF016",10591,0.0078125,1806
5,"S8","PvCSS",112,0.0078125,367.5
5,"S9","LF005",286,0.00390625,267
5,"S9","EBP",308,0.00390625,649
5,"S9","LF010",1140,0.00390625,1246
5,"S9","PTEX150",77,0.00390625,250
5,"S9","RBP2b.P87",367,0.00390625,519
5,"S9","LF016",6980.5,0.00390625,1006.5
5,"S9","PvCSS",64,0.00390625,201.5
5,"S10","LF005",161,0.001953125,153
5,"S10","EBP",193,0.001953125,370
5,"S10","LF010",702,0.001953125,717
5,"S10","PTEX150",55,0.001953125,139
5,"S10","RBP2b.P87",218,0.001953125,310
5,"S10","LF016",4585,0.001953125,599
5,"S10","PvCSS",38,0.001953125,96
6,"S1","LF005",17880,1,11581.5
6,"S1","EBP",14113,1,15463
6,"S1","LF010",27837,1,26024
6,"S1","PTEX150",6423,1,10475.5
6,"S1","RBP2b.P87",8978.5,1,8246.5
6,"S1","LF016",26704,1,22623
6,"S1","PvCSS",7882,1,11407
6,"S2","LF005",13923,0.5,9416
6,"S2","EBP",11871,0.5,13384
6,"S2","LF010",26034.5,0.5,22617
6,"S2","PTEX150",4279.5,0.5,7922.5
6,"S2","RBP2b.P87",7466.5,0.5,7439
6,"S2","LF016",26461,0.5,20016
6,"S2","PvCSS",5563.5,0.5,8646.5
6,"S3","LF005",10291,0.25,7112.5
6,"S3","EBP",9277,0.25,11236
6,"S3","LF010",20988.5,0.25,18231
6,"S3","PTEX150",2491,0.25,6035
6,"S3","RBP2b.P87",5865,0.25,6430.5
6,"S3","LF016",26186,0.25,16596.5
6,"S3","PvCSS",3017,0.25,6425
6,"S4","LF005",7449,0.125,4523
6,"S4","EBP",6941.5,0.125,8162
6,"S4","LF010",16740.5,0.125,12773
6,"S4","PTEX150",1615.5,0.125,3724.5
6,"S4","RBP2b.P87",4990,0.125,4886.5
6,"S4","LF016",26148,0.125,11894
6,"S4","PvCSS",1952,0.125,3714
6,"S5","LF005",5131,0.0625,2487
6,"S5","EBP",4660,0.0625,5243
6,"S5","LF010",12101,0.0625,8428.5
6,"S5","PTEX150",1010.5,0.0625,2152
6,"S5","RBP2b.P87",4116,0.0625,3207
6,"S5","LF016",25125,0.0625,7902
6,"S5","PvCSS",1208,0.0625,2081
6,"S6","LF005",2746.5,0.03125,1479.5
6,"S6","EBP",2719,0.03125,3172
6,"S6","LF010",8231,0.03125,5667.5
6,"S6","PTEX150",600,0.03125,1307
6,"S6","RBP2b.P87",2404,0.03125,2351
6,"S6","LF016",22486,0.03125,5347
6,"S6","PvCSS",666,0.03125,1210
6,"S7","LF005",1720,0.015625,861.5
6,"S7","EBP",1722.5,0.015625,1876
6,"S7","LF010",5773,0.015625,3177
6,"S7","PTEX150",361,0.015625,773
6,"S7","RBP2b.P87",1775,0.015625,1398
6,"S7","LF016",19259,0.015625,2882
6,"S7","PvCSS",372,0.015625,663
6,"S8","LF005",1031.5,0.0078125,482
6,"S8","EBP",1023,0.0078125,1144.5
6,"S8","LF010",3226.5,0.0078125,2020
6,"S8","PTEX150",208,0.0078125,451.5
6,"S8","RBP2b.P87",1080,0.0078125,870
6,"S8","LF016",15395,0.0078125,1775
6,"S8","PvCSS",213.5,0.0078125,354
6,"S9","LF005",561.5,0.00390625,272.5
6,"S9","EBP",578.5,0.00390625,669
6,"S9","LF010",2082.5,0.00390625,1212
6,"S9","PTEX150",124,0.00390625,253
6,"S9","RBP2b.P87",697,0.00390625,546
6,"S9","LF016",11221.5,0.00390625,1075
6,"S9","PvCSS",118.5,0.00390625,191
6,"S10","LF005",312,0.001953125,151
6,"S10","EBP",351.5,0.001953125,383
